Salary,Born,City,Pr/St,Cntry,Nat,Ht,Wt,DftYr,DftRd,Ovrl,Hand,Last Name,First Name,Position,Team,GP,G,A,A1,A2,PTS,+/-,E+/-,PIM,Shifts,TOI,TOIX,TOI/GP,TOI/GP,TOI%,IPP%,SH%,SV%,PDO,F/60,A/60,Pct%,Diff,Diff/60,iCF,iCF,iFF,iSF,iSF,iSF,ixG,iSCF,iRB,iRS,iDS,sDist,sDist,Pass,iHF,iHF,iHA,iHDf,iMiss,iGVA,iTKA,iBLK,iGVA,iTKA,iBLK,BLK%,iFOW,iFOL,iFOW,iFOL,FO%,%FOT,dzFOW,dzFOL,nzFOW,nzFOL,ozFOW,ozFOL,FOW.Up,FOL.Up,FOW.Down,FOL.Down,FOW.Close,FOL.Close,OTG,1G,GWG,ENG,PSG,PSA,G.Bkhd,G.Dflct,G.Slap,G.Snap,G.Tip,G.Wrap,G.Wrst,CBar ,Post,Over,Wide,S.Bkhd,S.Dflct,S.Slap,S.Snap,S.Tip,S.Wrap,S.Wrst,iPenT,iPenD,iPENT,iPEND,iPenDf,NPD,Min,Maj,Match,Misc,Game,CF,CA,FF,FA,SF,SA,xGF,xGA,SCF,SCA,GF,GA,RBF,RBA,RSF,RSA,DSF,DSA,FOW,FOL,HF,HA,GVA,TKA,PENT,PEND,OPS,DPS,PS,OTOI,Grit,DAP,Pace,GS,GS/G
925000,1997-01-30,Sainte-Marie,QC,CAN,CAN,74,190,2015,1,18,L,Chabot,Thomas,D,OTT,1,0,0,0,0,0,-2,0,0,13,429,7.2,7.15,7.16,15.2,0,0,0.75,750,0,16.74,0,-2,-16.74,2,2,2,1,1,1,0,0,0,0,0,43,49.3,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,8,10,5,8,0.5,0.9,2,3,0,2,1,1,0,1,1,2,4,5,1,2,1,1,1,1,0,-0.2,-0.2,40.03,1,0,175.7,-0.4,-0.38
2250000,1993-12-21,Ottawa,ON,CAN,CAN,74,207,2012,1,15,R,Ceci,Cody,D,OTT,79,2,15,6,9,17,-11,-10.4,20,2418,109992,1826.2,23.2,23.17,39,30.4,7.4,0.915,989,1.84,2.79,39.7,-29,-0.95,287,287,197,143,143,143,6.1,7,7,9,16,52.4,46.3,138.1,111,111,154,-43,54,74,22,159,74,22,159,8,1,0,1,0,100,0.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,51,2,0,49,12,0,1,79,10,6,10,5,-4,2.2,10,0,0,0,0,1433,1992,1038,1423,757,997,62,88.8,197,280,56,85,68,82,79,94,147,176,949,939,749,671,284,197,104,98,-0.2,3.4,3.2,2850.59,290,13.3,112.5,14.1,0.18
8000000,1988-04-16,St. Paul,MN,USA,USA,72,218,2006,1,7,R,Okposo,Kyle,RW,BUF,65,19,26,13,13,45,-7,-1.4,24,1443,73983,1229.2,18.97,18.95,33.1,63.4,9.7,0.934,1031,3.47,1.95,64,31,1.51,283,283,212,155,156,156,17.4,64,16,20,36,28.4,26.3,196.8,53,53,68,-15,57,36,26,25,36,26,25,2.4,54,45,54,45,54.5,7.4,9,6,10,11,35,28,13,10,21,16,37,33,1,5,2,0,0,0,5,2,0,3,0,0,9,0,2,4,51,19,3,3,20,8,2,101,12,10,11,8,-2,-0.5,12,0,0,0,0,1301,1051,986,826,734,606,70.8,46.4,235,133,71,40,60,34,76,52,136,86,739,600,340,351,168,129,56,70,3.7,1.3,5,2486.75,102,6.6,114.8,36.8,0.57
3500000,1992-01-07,Ottawa,ON,CAN,CAN,77,220,2010,1,3,R,Gudbranson,Erik,D,VAN,30,1,5,5,0,6,-14,-5.3,18,765,36603,607.9,20.33,20.31,36.1,37.5,6.2,0.897,959,1.58,3.45,31.4,-19,-1.88,88,88,55,40,40,40,1.4,2,1,4,5,55.1,51,153,66,66,66,0,15,23,4,44,23,4,44,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,18,3,0,0,19,6,7,6,6,1,2.7,4,2,0,0,0,460,605,339,467,259,340,22,33.6,80,130,16,35,27,20,29,32,56,52,324,328,198,197,86,59,26,22,0,0.4,0.5,1074.41,130,17.5,105.1,5.9,0.2
1750000,1994-03-29,Toronto,ON,CAN,CAN,76,217,2012,1,16,R,Wilson,Tom,RW,WSH,82,7,12,4,8,19,9,4.1,133,1453,63592,1059.7,12.93,12.93,23.5,61.3,7.8,0.917,995,1.76,2.32,43.1,-10,-0.57,166,166,118,95,95,95,9.3,35,8,10,18,30.9,26.4,96.3,239,239,134,105,23,21,36,44,21,36,44,4.4,3,7,3,7,30,1,1,1,0,2,2,4,3,1,0,3,2,6,0,2,0,1,0,0,0,0,0,0,1,0,6,0,2,1,20,7,2,3,10,11,1,61,44,33,40,29,-11,-14.3,33,9,0,1,1,766,992,546,720,398,495,33.5,47.5,124,159,31,41,30,37,43,53,73,90,528,490,512,422,157,126,88,68,-0.1,1.4,1.3,3459.09,425,8.3,99.5,21.8,0.27
1500000,1979-05-23,Strathroy,ON,CAN,CAN,70,192,1997,6,156,L,Campbell,Brian,D,CHI,80,5,12,6,6,17,12,0.7,24,1896,88462,1473.7,18.43,18.43,32.4,23.9,9.8,0.936,1033,2.89,1.91,60.2,24,0.98,171,171,110,75,74,75,4.5,7,2,3,5,46.1,41.9,95.7,43,43,157,-114,35,59,11,83,59,11,83,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,2,0,1,6,28,2,0,32,9,1,0,30,12,11,12,8,-1,5.4,12,0,0,0,0,1356,1281,971,972,728,730,62.9,59.9,210,197,71,47,30,56,58,85,88,141,570,667,348,707,223,168,76,60,0.6,3.7,4.3,3069.81,150,4.5,107.4,20.8,0.26
950000,1990-11-21,Stockholm,,SWE,SWE,71,185,2009,2,53,L,Rodin,Anton,RW,VAN,3,0,1,0,1,1,1,0.3,0,40,1604,26.7,8.92,8.91,19.1,100,14.3,1,1143,2.24,0,100,1,2.24,5,5,3,2,2,2,0.1,0,0,0,0,33.5,38.2,0,0,0,2,-2,1,1,2,1,1,2,1,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,17,23,10,15,7,11,0.7,0.5,3,2,1,0,1,0,1,0,2,0,16,13,1,12,3,4,0,1,0,0.1,0.1,113.46,1,0,89.8,0.6,0.18
842500,1993-07-28,Toronto,ON,CAN,CAN,70,183,,,,R,Rodrigues,Evan,LW/C,BUF,30,4,2,2,0,6,-7,-4.1,4,506,23265,388.2,12.93,12.93,23.5,75,4.7,0.925,972,1.24,2.63,32,-9,-1.39,94,94,74,51,51,51,2.8,9,1,6,7,37.7,37.6,96.3,12,12,20,-8,23,9,12,12,9,12,12,3.2,104,146,104,146,41.6,79.4,27,37,37,53,40,56,36,46,39,56,59,90,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,2,21,3,0,7,9,0,1,31,2,8,2,6,6,3,2,0,0,0,0,309,379,246,291,170,226,10.5,17.2,36,54,8,17,3,13,12,14,15,27,141,174,192,136,50,30,22,15,0,0.2,0.2,1261.25,28,12,106.3,6.2,0.21
1250000,1992-06-14,Scarborough,ON,CAN,CAN,72,214,2010,2,42,R,Smith-Pelly,Devante,RW/C/LW,N.J,53,4,5,2,3,9,-19,-7.9,12,975,42950,717.7,13.57,13.54,24.2,81.8,4,0.924,964,0.92,2.42,27.5,-18,-1.5,108,109,97,74,76,76,7.8,31,4,1,5,26.6,25.4,84,94,94,53,41,24,14,17,32,14,17,32,4.4,29,42,29,42,40.8,11.5,7,9,9,12,13,21,10,18,10,11,17,26,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,3,21,8,0,4,19,8,0,37,6,9,6,6,3,1.8,6,0,0,0,0,484,724,380,548,277,384,23.8,33.7,74,105,11,29,11,17,13,36,24,53,286,330,292,240,85,69,47,40,-0.6,0.3,-0.3,2250.18,138,18.5,101,2,0.04
925000,1993-04-27,Petawawa,ON,CAN,CAN,68,178,2011,7,201,L,Peca,Matthew,C,T.B,10,1,1,1,0,2,-3,-2.6,2,159,6867,114.3,11.45,11.44,23.4,100,4.4,0.907,952,1.05,2.63,28.6,-3,-1.58,24,24,17,9,9,9,0.9,3,0,1,1,24.9,28.4,45.8,9,9,16,-7,8,2,0,2,2,0,2,2.2,32,40,32,40,44.4,74.2,8,10,13,17,11,13,16,14,7,10,18,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,1,1,1,0,6,1,0,1,0,-1,-0.9,1,0,0,0,0,103,91,66,73,45,54,2.6,3.7,5,11,2,5,3,1,2,4,5,5,45,52,52,47,15,6,8,7,0,0,0,373.48,13,9,101.9,2.1,0.21
