"REF_DATE","GEO","DGUID","Gender","Type of corporation","Country of control","Industry","Size of enterprise","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Total, all industries","Total, all sizes","Number","Number","223","units","0","v1138039000","1.1.1.1.1.1.1","5423","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Total, all industries","Total, all sizes","Percentage","Percent","239","units","0","v1138041700","1.1.1.1.1.1.2","17.8","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Total, all industries","First quartile","Number","Number","223","units","0","v1138039450","1.1.1.1.1.2.1","1001","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Total, all industries","First quartile","Percentage","Percent","239","units","0","v1138042150","1.1.1.1.1.2.2","17.7","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Total, all industries","Second quartile","Number","Number","223","units","0","v1138039900","1.1.1.1.1.3.1","955","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Total, all industries","Second quartile","Percentage","Percent","239","units","0","v1138042600","1.1.1.1.1.3.2","16.0","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Total, all industries","Third quartile","Number","Number","223","units","0","v1138040350","1.1.1.1.1.4.1","1054","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Total, all industries","Third quartile","Percentage","Percent","239","units","0","v1138043050","1.1.1.1.1.4.2","16.0","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Total, all industries","Fourth quartile","Number","Number","223","units","0","v1138040800","1.1.1.1.1.5.1","1943","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Total, all industries","Fourth quartile","Percentage","Percent","239","units","0","v1138043500","1.1.1.1.1.5.2","19.6","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Total, all industries","Unclassified size of enterprise","Number","Number","223","units","0","v1138041250","1.1.1.1.1.6.1","470","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Total, all industries","Unclassified size of enterprise","Percentage","Percent","239","units","0","v1138043950","1.1.1.1.1.6.2","19.9","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Finance","Total, all sizes","Number","Number","223","units","0","v1138039001","1.1.1.1.2.1.1","1510","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Finance","Total, all sizes","Percentage","Percent","239","units","0","v1138041701","1.1.1.1.2.1.2","21.9","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Finance","First quartile","Number","Number","223","units","0","v1138039451","1.1.1.1.2.2.1","261","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Finance","First quartile","Percentage","Percent","239","units","0","v1138042151","1.1.1.1.2.2.2","20.3","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Finance","Second quartile","Number","Number","223","units","0","v1138039901","1.1.1.1.2.3.1","179","","","","0"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Finance","Second quartile","Percentage","Percent","239","units","0","v1138042601","1.1.1.1.2.3.2","19.2","","","","1"
"2016","Canada","2016A000011124","Female gender","Total, all corporations","Total, all countries","Finance","Third quartile","Number","Number","223","units","0","v1138040351","1.1.1.1.2.4.1","253","","","","0"
