"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Victims of police-reported violent crime and traffic violations causing bodily harm or death, by type of violation and age of victim",35100049,252-0097,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3510004901",1,"CURRENT - a cube available to the public and that is current",Annual,2009-01-01,2018-01-01,4

"Dimension ID","Dimension name","Dimension Notes","Dimension Correction Notes","Dimension Definitions"
1,Geography,2,,
2,Violations,,,
3,"Age of victim",,,
4,Statistics,,,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Correction Notes","Member Geo Attribute Keys","Member Definitions"
1,Canada,,1,,,,,,
1,"Newfoundland and Labrador",,2,1,,,,,
1,"Prince Edward Island",,3,1,,,,,
1,"Nova Scotia",,4,1,,,,,
1,"New Brunswick",,5,1,,10,,,
1,Quebec,,6,1,,,,,
1,Ontario,,7,1,,,,,
1,Manitoba,,8,1,,,,,
1,Saskatchewan,,9,1,,,,,
1,Alberta,,10,1,,,,,
1,"British Columbia",,11,1,,,,,
1,Yukon,,12,1,,,,,
1,"Northwest Territories",,13,1,,,,,
1,Nunavut,,14,1,,,,,
1,"St. John's, Newfoundland and Labrador",,15,2,,,,,
1,"Halifax, Nova Scotia",,16,4,,,,,
1,"Moncton, New Brunswick",,17,5,,16,,,
1,"Saint John, New Brunswick",,18,5,,16,,,
1,"Saguenay, Quebec",,19,6,,,,,
1,"Québec, Quebec",,20,6,,,,,
1,"Sherbrooke, Quebec",,21,6,,15,,,
1,"Trois-Rivières, Quebec",,22,6,,,,,
1,"Montréal, Quebec",,23,6,,,,,
1,"Ottawa-Gatineau, Quebec part",,24,6,,,,,
1,"Ottawa-Gatineau, Ontario part",,25,7,,,,,
1,"Kingston, Ontario",,26,7,,,,,
1,"Belleville, Ontario",,27,7,,14,,,
1,"Peterborough, Ontario",,28,7,,,,,
1,"Toronto, Ontario",,29,7,,,,,
1,"Hamilton, Ontario",,30,7,,,,,
1,"St. Catharines-Niagara, Ontario",,31,7,,,,,
1,"Kitchener-Cambridge-Waterloo, Ontario",,32,7,,,,,
1,"Brantford, Ontario",,33,7,,,,,
1,"Guelph, Ontario",,34,7,,,,,
1,"London, Ontario",,35,7,,,,,
1,"Windsor, Ontario",,36,7,,,,,
1,"Barrie, Ontario",,37,7,,,,,
1,"Greater Sudbury, Ontario",,38,7,,,,,
1,"Thunder Bay, Ontario",,39,7,,,,,
1,"Winnipeg, Manitoba",,40,8,,,,,
1,"Regina, Saskatchewan",,41,9,,,,,
1,"Saskatoon, Saskatchewan",,42,9,,,,,
1,"Lethbridge, Alberta",,43,10,,14,,,
1,"Calgary, Alberta",,44,10,,,,,
1,"Edmonton, Alberta",,45,10,,,,,
1,"Kelowna, British Columbia",,46,11,,,,,
1,"Abbotsford-Mission, British Columbia",,47,11,,,,,
1,"Vancouver, British Columbia",,48,11,,,,,
1,"Victoria, British Columbia",,49,11,,,,,
2,"Total, all violations",,1,,,,,,
2,"Violations causing death and attempted murder",,2,1,,,,,
2,"Homicide and other offences causing death",,3,2,,3,,,
2,"Attempted murder",,4,2,,,,,
2,"Sexual assaults",,5,1,,,,,
2,"Sexual assault, level 3, aggravated",,6,5,,,,,
2,"Sexual assault, level 2, weapon or bodily harm",,7,5,,,,,
2,"Sexual assault, level 1",,8,5,,,,,
2,"Sexual violations against children",,9,1,,4;11,,,
2,Assaults,,10,1,,,,,
2,"Assault, level 3, aggravate",,11,10,,,,,
2,"Assault, level 2, weapon or bodily harm",,12,10,,,,,
2,"Assault, level 1",,13,10,,,,,
2,"Other assaults",,14,10,,5,,,
2,"Other violent violations",,15,1,,,,,
2,Robbery,,16,15,,,,,
2,"Criminal harassment",,17,15,,,,,
2,"Indecent/Harassing communications",,18,15,,,,,
2,"Uttering threats",,19,15,,,,,
2,"Kidnapping, forcible confinement, abduction or hostage taking",,20,15,,,,,
2,"Trafficking in persons and prostitution",,21,15,,12,,,
2,"Other violations",,22,15,,6,,,
2,"Criminal Code traffic violations causing death or bodily harm",,23,1,,7,,,
2,"Impaired driving and other Criminal Code traffic violations causing death",,24,23,,7,,,
2,"Impaired driving and other Criminal Code traffic violations causing bodily harm",,25,23,,7,,,
3,"Total, age of victim",,1,,,13,,,
3,"Under 12 years",,2,1,,13,,,
3,"12 to 15 years",,3,1,,13,,,
3,"16 to 17 years",,4,1,,13,,,
3,"18 to 24 years",,5,1,,13,,,
3,"25 years and over",,6,1,,8;13,,,
3,"Age of victim unknown",,7,1,,,,,
4,"Number of victims",,1,,,,,,
4,"Rate per 100,000 population",,2,,,9,,,

Symbol Legend
Description,Symbol
"not available for a specific reference period",..
"less than the limit of detection",<LOD
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded",0s
"data quality: excellent",A
"data quality: very good",B
"data quality: good",C
"data quality: acceptable",D
"use with caution",E
"too unreliable to be published",F
"not applicable",...
preliminary,p
revised,r
"suppressed to meet the confidentiality requirements of the Statistics Act",x
terminated,t

"Survey Code","Survey Name"
3302,"Uniform Crime Reporting Survey"

"Subject Code","Subject Name"
35,"Crime and justice"

"Note ID",Note
1,"For police-reported incidents that involve violations against the person, a victim record is collected for each victim involved in the incident. If an individual is a victim in multiple incidents in the same reference year, that individual will be counted as one victim for each separate incident. Some victims experience violence over a period of time, sometimes years, all of which may be considered by the police to be part of one continuous incident and are counted as a single victim."
2,"Data is from the Uniform Crime Reporting (UCR2) Trend Database which contains historical data, which permits the analysis of trends from 2009 to 2018 in the characteristics of the incidents, accused and victims, such as weapon use and accused-victim relationships. This database includes respondents accounting for 99% of the population of Canada in 2018."
3,"Excludes Criminal Code traffic violations causing death such as impaired driving."
4,"Sexual violations against children are a set of Criminal Code violations that specifically concern violations involving child and youth victims. These include violations such as sexual interference, invitation to sexual touching and sexual exploitation, but exclude sexual assault and other sexual violations not specific to children. See the ""Definitions"" section for a full list of violations in this category."
5,"Includes assaults against police and other peace officers, as well as other types of assaults such as criminal negligence causing bodily harm."
6,"Includes violent firearms violations, extortion, and other violent violations."
7,"Includes dangerous operation of a motor vehicle, failure to stop and other Criminal Code traffic violations."
8,"Excludes victims where age is over 89."
9,"Rates are calculated on the basis of 100,000 population. Populations based upon July 1st estimates from Statistics Canada, Demography Division."
10,"Excludes data for the Saint John Municipal Police Service."
11,"Between 2015 and 2016, some of the increase in the number of victims of sexual violations against children may be attributed to legislative changes (Bill C-26) to the maximum sentences for these offences which thereby affects the determination of the most serious violation in the incident. As a result, this also has an impact on the number of child and youth victims of sexual assault."
